Samples,204252_at,211803_at,211804_s_at
GSM680082,4.404041788,2.297768839,3.046691267
GSM680081,3.981442654,2.291893336,2.790920979
GSM680080,5.232181206,2.297100467,2.788077856
GSM680079,4.683733157,2.283715741,2.816396158
GSM680078,3.501569415,2.292235421,2.819906511
GSM680077,4.449275869,2.288221263,2.735762442
GSM680076,4.619922035,2.282983953,2.741708866
GSM680075,3.977168687,2.306603384,2.826407325
GSM680074,4.401721303,2.285029693,2.819121438
GSM680073,4.889586688,2.282629112,2.738015593
GSM680072,4.945198814,2.281744253,2.648805612
GSM680071,4.232784502,2.317232053,2.825192673
GSM680070,4.404085681,2.293715466,2.819882184
GSM680069,4.855067391,2.323429678,2.758998496
GSM680068,4.378573188,2.321977305,2.966924824
GSM680067,4.591302091,2.281897682,3.031113691
GSM680066,4.451001612,2.296643907,2.91529948
GSM680065,5.196932916,2.294185304,2.817398897
GSM680064,4.481270677,2.308514651,2.826843253
GSM680063,3.666223385,2.289961566,2.773153746
GSM680062,3.952207898,2.294977056,2.820146482
GSM680061,4.395306563,2.301293191,2.822153877
GSM680060,4.061247603,2.290693602,2.811822377
GSM680059,4.3975695,2.278439343,2.815818864
GSM680058,4.644289911,2.301335019,3.259468467
GSM680057,4.404210878,2.29774806,2.824639331
GSM680056,4.366729049,2.29620243,2.819401429
GSM680055,4.800189013,2.30610137,2.855215806
GSM680054,4.951218256,2.294434751,3.02966472
GSM680053,4.729072353,2.296042393,2.820715502
GSM680052,4.87828623,2.293598196,2.818278896
GSM680051,4.683432124,2.299494715,2.823191284
GSM680050,4.995531026,2.305253736,2.824600407
GSM680049,4.189362862,2.362147326,2.841980282
GSM680048,4.718777212,2.276111348,2.810107823
GSM680047,5.061002036,2.29736279,3.125558631
GSM680046,4.849929703,2.295979061,2.820974532
GSM680045,4.397729806,2.28766767,2.808885402
GSM680044,4.475893807,2.299477489,2.795100028
GSM680043,4.401133677,2.292655324,3.280496021
GSM680042,4.665726397,2.299206819,2.821040943
GSM680041,4.462067526,2.294456218,2.74320113
GSM680040,4.136319913,2.31391692,2.826682149
GSM680039,4.400407049,2.304982419,2.817133982
GSM680038,4.401481606,2.298811265,2.820113585
GSM680037,4.073377052,2.290556114,2.737989291
GSM680036,4.266522675,2.296341339,2.941161751
GSM680035,4.404371727,2.303148471,2.824213342
GSM680034,4.494197151,2.296394341,2.845088604
GSM680033,3.991597318,2.290918985,2.740658493
GSM680032,4.814543258,2.295292081,2.901024818
GSM680031,5.222919799,2.271800979,3.258054948
GSM680030,4.407469981,2.298996086,2.947950201
GSM680029,4.748545479,2.297081809,2.820430673
